[2025-12-26T18:32:37.222198] Starting job words_20251226-183237
▶ Infinite mode started | model=gemma2:2b level=A1 batch=50 ask/call=100
   Press Ctrl+C to stop.

✅ Call #1: got=0 added=0 | batch=0/50
✅ Call #2: got=0 added=0 | batch=0/50
✅ Call #3: got=0 added=0 | batch=0/50
✅ Call #4: got=0 added=0 | batch=0/50
✅ Call #5: got=10 added=10 | batch=10/50
✅ Call #6: got=0 added=0 | batch=10/50
✅ Call #7: got=0 added=0 | batch=10/50
✅ Call #8: got=34 added=31 | batch=41/50
✅ Call #9: got=10 added=1 | batch=42/50
✅ Call #10: got=10 added=0 | batch=42/50
✅ Call #11: got=10 added=1 | batch=43/50
✅ Call #12: got=12 added=1 | batch=44/50
✅ Call #13: got=10 added=0 | batch=44/50
✅ Call #14: got=11 added=1 | batch=45/50
✅ Call #15: got=10 added=0 | batch=45/50
✅ Call #16: got=10 added=2 | batch=47/50
✅ Call #17: got=10 added=0 | batch=47/50
✅ Call #18: got=0 added=0 | batch=47/50
✅ Call #19: got=10 added=0 | batch=47/50
✅ Call #20: got=0 added=0 | batch=47/50
✅ Call #21: got=0 added=0 | batch=47/50
✅ Call #22: got=0 added=0 | batch=47/50
✅ Call #23: got=10 added=0 | batch=47/50
✅ Call #24: got=0 added=0 | batch=47/50
✅ Call #25: got=10 added=1 | batch=48/50
✅ Call #26: got=10 added=0 | batch=48/50
✅ Call #27: got=0 added=0 | batch=48/50
✅ Call #28: got=11 added=0 | batch=48/50
✅ Call #29: got=11 added=1 | batch=49/50
✅ Call #30: got=10 added=1 | batch=50/50
💾 Saved out_french/french_A1_20251226-183349.txt | +50 words | elapsed=71.9s | batch #1
✅ Call #1: got=0 added=0 | batch=0/50
✅ Call #2: got=10 added=10 | batch=10/50
✅ Call #3: got=11 added=5 | batch=15/50
✅ Call #4: got=0 added=0 | batch=15/50
✅ Call #5: got=10 added=0 | batch=15/50
✅ Call #6: got=10 added=1 | batch=16/50
✅ Call #7: got=10 added=0 | batch=16/50
✅ Call #8: got=10 added=0 | batch=16/50
✅ Call #9: got=10 added=1 | batch=17/50
✅ Call #10: got=0 added=0 | batch=17/50
✅ Call #11: got=10 added=0 | batch=17/50
✅ Call #12: got=10 added=1 | batch=18/50
✅ Call #13: got=10 added=0 | batch=18/50
✅ Call #14: got=0 added=0 | batch=18/50
✅ Call #15: got=10 added=0 | batch=18/50
✅ Call #16: got=11 added=1 | batch=19/50
✅ Call #17: got=10 added=2 | batch=21/50
✅ Call #18: got=11 added=0 | batch=21/50
✅ Call #19: got=10 added=0 | batch=21/50
✅ Call #20: got=10 added=0 | batch=21/50
✅ Call #21: got=10 added=0 | batch=21/50
✅ Call #22: got=10 added=1 | batch=22/50
✅ Call #23: got=10 added=0 | batch=22/50
✅ Call #24: got=10 added=0 | batch=22/50
✅ Call #25: got=0 added=0 | batch=22/50
✅ Call #26: got=0 added=0 | batch=22/50
✅ Call #27: got=10 added=0 | batch=22/50
✅ Call #28: got=10 added=0 | batch=22/50
✅ Call #29: got=0 added=0 | batch=22/50
✅ Call #30: got=11 added=0 | batch=22/50
✅ Call #31: got=10 added=1 | batch=23/50
✅ Call #32: got=0 added=0 | batch=23/50
✅ Call #33: got=10 added=0 | batch=23/50
✅ Call #34: got=10 added=0 | batch=23/50
✅ Call #35: got=10 added=0 | batch=23/50
✅ Call #36: got=10 added=0 | batch=23/50
✅ Call #37: got=11 added=2 | batch=25/50
✅ Call #38: got=10 added=0 | batch=25/50
✅ Call #39: got=10 added=2 | batch=27/50
✅ Call #40: got=10 added=0 | batch=27/50
✅ Call #41: got=11 added=0 | batch=27/50
✅ Call #42: got=10 added=1 | batch=28/50
✅ Call #43: got=10 added=0 | batch=28/50
✅ Call #44: got=10 added=0 | batch=28/50
✅ Call #45: got=10 added=1 | batch=29/50
✅ Call #46: got=11 added=1 | batch=30/50
✅ Call #47: got=0 added=0 | batch=30/50
✅ Call #48: got=10 added=0 | batch=30/50
✅ Call #49: got=10 added=0 | batch=30/50
✅ Call #50: got=10 added=0 | batch=30/50
✅ Call #51: got=11 added=0 | batch=30/50
✅ Call #52: got=10 added=0 | batch=30/50
✅ Call #53: got=25 added=0 | batch=30/50
✅ Call #54: got=10 added=0 | batch=30/50
✅ Call #55: got=11 added=0 | batch=30/50
✅ Call #56: got=11 added=1 | batch=31/50
✅ Call #57: got=10 added=0 | batch=31/50
✅ Call #58: got=10 added=0 | batch=31/50
✅ Call #59: got=11 added=0 | batch=31/50
✅ Call #60: got=10 added=0 | batch=31/50
✅ Call #61: got=10 added=1 | batch=32/50
✅ Call #62: got=10 added=0 | batch=32/50
✅ Call #63: got=10 added=1 | batch=33/50
✅ Call #64: got=10 added=0 | batch=33/50
✅ Call #65: got=10 added=0 | batch=33/50
✅ Call #66: got=10 added=0 | batch=33/50
✅ Call #67: got=10 added=0 | batch=33/50
✅ Call #68: got=10 added=1 | batch=34/50
✅ Call #69: got=11 added=0 | batch=34/50
✅ Call #70: got=11 added=0 | batch=34/50
✅ Call #71: got=11 added=1 | batch=35/50
✅ Call #72: got=10 added=0 | batch=35/50
✅ Call #73: got=10 added=0 | batch=35/50
✅ Call #74: got=26 added=4 | batch=39/50
✅ Call #75: got=10 added=0 | batch=39/50
✅ Call #76: got=0 added=0 | batch=39/50
✅ Call #77: got=10 added=0 | batch=39/50
